,ticker
596,KNRCON
597,KPITTECH
598,KRBL
599,KSB
600,KALPATPOWR
601,KALYANKJIL
602,KSL
603,KTKBANK
604,KARURVYSYA
605,KSCL
606,KEC
607,KIRIINDUS
608,KIRLOSBROS
609,KIRLFER
610,KIRLOSENG
611,KOLTEPATIL
612,LGBBROSLTD
613,DAAWAT
614,LAOPALA
615,LAXMIMACH
616,LXCHEM
617,LEMONTREE
618,LUMAXTECH
619,LUXIND
620,MASFIN
621,MMTC
622,MOIL
623,MSTCLTD
624,MTARTECH
625,MTNL
626,MAHSCOOTER
627,MAHSEAMLES
628,MAHINDCIE
629,MHRIL
630,MAHLIFE
631,MAHLOG
632,MAITHANALL
633,MANINFRA
634,MRPL
635,MARKSANS
636,MASTEK
637,MATRIMONY
638,MAYURUNIQ
639,MAZDOCK
640,MINDACORP
641,MIDHANI
642,MOLDTKPAC
643,MOREPENLAB
644,BECTORFOOD
645,MCX
646,NBCC
647,NCC
648,NEOGEN
649,NESCO
650,NIITLTD
651,NLCINDIA
652,NOCIL
653,NRBBEARING
654,NH
655,NFL
656,NBVENTURES
657,NAVNETEDUL
658,NAZARA
659,NETWORK18
660,NEULANDLAB
661,NEWGEN
662,NILKAMAL
663,NOVARTIND
664,NUCLEUS
665,OLECTRA
666,ORIENTCEM
667,ORIENTELEC
668,OAL
669,OCCL
670,ORISSAMINE
671,PCJEWELLER
672,PCBL
673,PNBGILTS
674,PNBHOUSING
675,PNCINFRA
676,PSPPROJECT
677,PFS
678,PTC
679,PVR
680,PAISALO
681,PANACEABIO
682,PARAGMILK
683,PILANIINVS
684,POLYMED
685,POLYPLEX
686,POONAWALLA
687,PRAJIND
688,PRAKASH
689,DIAMONDYD
690,PRINCEPIPE
691,PRSMJOHNSN
692,PRIVISCL
693,PGHL
694,PSB
695,PUNJABCHEM
696,PURVA
697,QUESS
698,QUICKHEAL
699,RSYSTEMS
700,RHIM
701,RITES
702,RPSGVENT
703,RADICO
704,RVNL
705,RAILTEL
706,RAIN
707,RALLIS
708,RAMCOIND
709,RAMCOSYS
710,RKFORGE
711,RANEHOLDIN
712,RCF
713,RATNAMANI
714,RTNINDIA
715,RTNPOWER
716,RAYMOND
717,REDINGTON
718,RELINFRA
719,RPOWER
720,RELIGARE
721,REPCOHOME
722,ROSSARI
723,ROUTE
724,RUPA
725,SHK
726,SEAMECLTD
727,SIS
728,SJVN
729,SMSPHARMA
730,SADBHAV
731,SAGCEM
732,SANDHAR
733,SANGHIIND
734,SARDAEN
735,SAREGAMA
736,SASKEN
737,SATIA
738,SOTL
739,SCHNEIDER
740,SEQUENT
741,SESHAPAPER
742,SHALBY
743,SHANKARA
744,SHANTIGEAR
745,SHARDACROP
746,SHARDAMOTR
747,SFL
748,SHILPAMED
749,SCI
750,SHOPERSTOP
751,RENUKA
752,SHRIRAMCIT
753,SIYSIL
754,SNOWMAN
755,SOBHA
756,SOLARA
757,SOMANYCERA
758,SHIL
759,SONATSOFTW
760,SOUTHBANK
761,SPANDANA
762,SPICEJET
763,STARCEMENT
764,SSWL
765,SWSOLAR
766,STLTECH
767,STOVEKRAFT
768,STAR
769,SUBEXLTD
770,SUBROS
771,SUDARSCHEM
772,SPARC
773,SUNCLAYLTD
774,SUNFLAG
775,SUNTECK
776,SUPRAJIT
777,SUPPETRO
778,SURYAROSNI
779,SURYODAY
780,SUZLON
781,SWANENERGY
782,SWARAJENG
783,SYMPHONY
784,TCIEXP
785,TCNSBRANDS
786,TVTODAY
787,TV18BRDCST
788,TVSSRICHAK
789,TAKE
790,TNPL
791,TANLA
792,TASTYBITE
793,TATACOFFEE
794,TATAINVEST
795,TATAMETALI
796,TATAMTRDVR
797,TATASTLLP
798,TTML
799,TEAMLEASE
800,TECHNOE
801,TEJASNET
802,TIRUMALCHM
803,THOMASCOOK
804,THYROCARE
805,TIDEWATER
806,TIMETECHNO
807,TIMKEN
808,TINPLATE
809,TCI
810,TRIDENT
811,TRIVENI
812,TRITURBINE
813,UCOBANK
814,UFLEX
815,UTIAMC
816,UJJIVAN
817,UJJIVANSFB
818,UNICHEMLAB
819,USHAMART
820,VGUARD
821,VMART
822,VIPIND
823,VSTTILLERS
824,VRLLOG
825,VSTIND
826,WABAG
827,VAKRANGEE
828,VALIANTORG
829,VTL
830,VARROC
831,VENKEYS
832,VESUVIUS
833,VINDHYATEL
834,VOLTAMP
835,WELCORP
836,WELENT
837,WELSPUNIND
838,WSTCSTPAPR
839,WESTLIFE
840,WHEELS
841,WOCKPHARMA
842,WONDERLA
843,ZENSARTECH
844,ECLERX
845,MAHEPC
846,ASAL
847,NELCO
848,ORIENTHOT
849,TRF

