CARERATING,5
CCL,6
CGPOWER,4
CESC,6
CAMLINFINE,7
CANFINHOME,6
CSBBANK,5
CAPACITE,6
CAPLIPOINT,7
CGCL,4
CARBORUNIV,5
CEATLTD,8
CDSL,5
CENTRALBK,1
CENTRUM,4
CENTURYPLY,8
CENTURYTEX,4
CHALET,3
CERA,8
CHAMBLFERT,8
CHEMCON,7
CHENNPETRO,8
CLNINDIA,5
CIGNITITEC,6
COCHINSHIP,5
CAMS,5
CONFIPET,5
COSMOFILMS,8
CRAFTSMAN,8
CREDITACC,3
DBCORP,5
CYIENT,7
DCBBANK,3
DCMSHRIRAM,6
DFMFOODS,7
DALMIASUG,9
DEEPAKFERT,7
DELTACORP,3
DEN,8
DHAMPURSUG,9
DHANUKA,7
DISHTV,6
DCAL,4
DBL,7
DOLATALGO,7
DOLLAR,9
EIDPARRY,8
DREDGECORP,4
EIHOTEL,2
ESABINDIA,5
EASEMYTRIP,6
EPL,7
EDELWEISS,8
ELECTCAST,6
ELGIEQUIP,7
ENGINERSIN,4
EQUITAS,7
ERIS,7
EQUITASBNK,6
EVEREADY,4
EXCELINDUS,9
FDC,6
FMGOETZE,5
FACT,8
FILATEX,7
FINCABLES,5
FINEORG,7
FINPIPE,7
FSL,6
FORCEMOT,3
FCONSUMER,3
FRETAIL,1
GMBREW,5
GEPIL,5
GET&D,5
GTPL,9
GMMPFAUDLR,7
GABRIEL,6
GALAXYSURF,9
GRSE,5
GARFIBRES,7
GENUSPOWER,7
GATI,5
GPIL,9
GEOJITFSL,4
GODFRYPHLP,5
GODREJAGRO,4
GOODYEAR,7
GRANULES,6
GESHIP,7
GRAPHITE,3
GREENPANEL,9
GREAVESCOT,3
GREENPLY,6
GRINDWELL,6
GUJALKALI,6
GAEL,7
GMDCLTD,3
GIPCL,5
GNFC,7
GSFC,8
GPPL,5
HEG,4
GULFOILLUB,4
HFCL,6
HGINFRA,6
HBLPOWER,6
HIL,8
HLEGLAS,6
HSIL,7
HAPPSTMNDS,5
HCG,4
HEMIPROP,3
HATHWAY,6
HEIDELBERG,6
HERANBA,6
HERITGFOOD,8
HESTERBIO,8
HIKAL,9
HCC,6
HSCL,4
HGS,7
HIMATSEIDE,5
HNDFDS,7
HINDOILEXP,4
HOMEFIRST,3
HUHTAMAKI,6
HUDCO,7
ICRA,4
IGPL,8
IDBI,6
IDFC,4
IFBIND,7
IFCI,2
IIFLSEC,8
IIFLWAM,8
IIFL,4
INEOSSTYRO,9
IOLCP,5
IRB,6
IRCON,7
ITDCEM,6
INDIAGLYCO,6
IGARASHI,7
INDIACEM,6
ITDC,2
IBULHSGFIN,5
IBREALEST,7
IEX,8
INDIANHUME,7
IMFA,9
IOB,5
INDIGOPNTS,7
ICIL,7
INDOSTAR,5
INFIBEAM,6
INDOCO,7
INGERRAND,6
INOXLEISUR,2
